engineering_action,delta_largest_component,baseline,improved
loss reduction,0.025392561983471063,0.15758264462809918,0.18297520661157024
local optimization,0.0056611570247933896,0.15758264462809918,0.16324380165289257
detection improvement,0.005144628099173543,0.15758264462809918,0.16272727272727272
routing improvement,0.00037190082644628086,0.15741735537190082,0.1577892561983471
timing control,8.264462809917661e-05,0.15758264462809918,0.15766528925619835
calibration stabilization,0.0,0.16297520661157025,0.15758264462809918
