stage,largest_component,maximum_margin
initial,0.06924556213017752,0.18105541993753568
admitted,0.09344674556213017,0.2074428701563354
connected,0.12298816568047337,0.23322412208916204
expanded larger admissible topology,0.16792899408284023,0.26702392242630435
