stage,largest_component,max_margin,components
iteration 1 small Ω,0.026364795918367347,0.0805751012334177,1
iteration 2 better calibration,0.07140306122448979,0.18245771106349715,1
iteration 3 connected Ωc,0.10873724489795919,0.22488659273473094,1
iteration 4 robust interior,0.18315051020408163,0.2910659508687027,1
